ProductModelNo,Year,ManufacturingCost,SellingCost,ProfitMargin,MarketShare,WarrantyPeriod,ServiceCenter,ClaimsMadeByCustInWarranty,RepairExpenditureDuringWarranty,ReplacementExpenditureDuringWarranty,FrequentFaults,FixedServiceCost,ProductLifeSpan,EstmtdServiceCost
abcd_1,2009,1000,1200,16.66666667,10,1,44,10,40,20,1,62.4,3,60
abcd_2,2009,1030,1300,20.76923077,14,3,50,15,135,67.5,2,202.5,3,202.5
abcd_3,2009,54567,62345,12.47573983,15,4,60,250,1000,500,3,1860,8,1500
abcd_4,2009,34560,38990,11.36188766,16,1,71,287,5740,2870,1,10159.8,10,8610
abcd_5,2009,500,650,23.07692308,12,2,32,40,120,60,1,183.6,3,180
abcd_6,2009,900,1150,21.73913043,19,3,44,200,90,45,1,135,3,135
abcd_7,2009,434,550,21.09090909,22,2,55,60,50,25,2,72,1,75
abcd_8,2009,2999,3499,14.28979708,25,5,45,12,120,60,1,169.2,2,180
abcd_9,2009,4231,4890,13.47648262,26,3,65,176,704,352,1,1077.12,4,1056
abcd_10,2009,43123,48970,11.93996324,27,3,75,49,4200,2100,1,6426,4,6300
abcd_11,2009,1145,1234,7.212317666,18,5,78,32,96,48,1,138.24,3,144
abcd_12,2009,1456,1898,23.28767123,45,3,45,35,140,70,2,218.4,4,210
abcd_13,2009,26786,31768,15.68244775,35,4,65,45,90,45,1,140.4,6,135
abcd_14,2009,14999,18990,21.01632438,22,4,35,140,1260,630,1,1852.2,3,1890
abcd_15,2009,12500,15500,19.35483871,33,2,25,90,720,360,1,1166.4,6,1080
abcd_16,2009,4708,5150,8.582524272,45,4,20,56,112,56,1,171.36,5,168
abcd_17,2009,1789,2134,16.16682287,26,5,10,123,369,184.5,1,520.29,2,553.5
abcd_18,2009,899,1249,28.02241793,11,3,65,150,110,55,1,158.4,1,165
abcd_19,2009,18890,23589,19.92030184,9,5,75,250,500,250,1,720,3,750
abcd_20,2009,49560,54500,9.064220183,17,2,78,47,470,235,1,775.5,7,705
abcd_21,2009,2455,2800,12.32142857,45,4,70,230,460,230,3,648.6,3,690
abcd_22,2009,3499,3850,9.116883117,38,2,65,15,180,90,1,280.8,4,270
abcd_23,2009,999,1240,19.43548387,39,1,55,20,60,30,1,93.6,3,90
abcd_1,2010,923,1289,28.39410396,15,1,47,17,68,34,1,106.08,3,102
abcd_2,2010,1000,1250,20,21,3,55,16,144,72,2,216,3,216
abcd_3,2010,53600,61567,12.9403739,21,4,62,37,148,74,2,257.52,8,222
abcd_4,2010,32345,37867,14.58261811,17,1,72,99,1980,990,1,3504.6,10,2970
abcd_5,2010,467,555,15.85585586,15,2,39,49,147,73.5,3,233.73,3,220.5
abcd_6,2010,865,1001,13.58641359,23,3,47,154,92,46,1,138,3,138
abcd_7,2010,413,589,29.8811545,27,2,55,53,50,25,2,72,1,75
abcd_8,2010,2759,3245,14.97688752,16,5,47,67,120,60,1,169.2,2,180
abcd_9,2010,4178,4912,14.94299674,24,3,65,149,596,298,3,947.64,4,894
abcd_10,2010,42189,47688,11.53120282,25,3,76,112,4250,2125,1,6502.5,4,6375
abcd_11,2010,1220,1600,23.75,29,5,78,57,171,85.5,1,246.24,3,256.5
abcd_12,2010,1345,1678,19.84505364,41,3,46,65,260,130,2,405.6,4,390
abcd_13,2010,23687,29786,20.47606258,30,4,67,45,90,45,1,140.4,6,135
abcd_14,2010,13890,15990,13.13320826,23,4,34,187,1683,841.5,2,2423.52,3,2524.5
